transaction_text,amount,amount_log,amount_bucket,payment_method,transaction_type,category
Municipal Water Department Auto Debit Municipal Water Department,224.81,5.41969393771455,Small,Auto Debit,Debit,Bills
Faasos UPI Collect Faasos,189.4,5.249127122357265,Small,Upi,Debit,Food
Reliance Fresh POS Purchase Reliance Fresh,484.11,6.184375669345028,Small,Credit Card,Debit,Groceries
Municipal Water Department UPI Collect Municipal Water Department,203.93,5.322668457411868,Small,Upi,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2731.75,7.9130637071739445,Large,Auto Debit,Debit,Bills
Starbucks India POS Purchase Starbucks India,145.62,4.98784420579544,Small,Credit Card,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2296.35,7.739511563741555,Medium,Net Banking,Debit,Bills
BSNL Auto Debit BSNL,632.04,6.450533611300938,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2624.81,7.873144698855923,Medium,Auto Debit,Debit,Bills
Faasos POS Purchase Faasos,304.71,5.722636940170732,Small,Debit Card,Debit,Food
Zomato UPI/DR/813857814063/Zomato,667.72,6.505365437390901,Medium,Upi,Debit,Food
Bharat Gas Auto Debit Bharat Gas,423.41,6.050699969138953,Small,Auto Debit,Debit,Bills
Burger King POS Purchase Burger King,666.41,6.503404549723152,Medium,Debit Card,Debit,Food
Nature's Basket UPI Payment Nature's Basket,647.43,6.474554056527167,Small,Upi,Debit,Groceries
Starbucks India UPI Collect Starbucks India,165.53,5.115175473370179,Small,Upi,Debit,Food
Burger King UPI/DR/333681952684/Burger King,238.84,5.4799720343542875,Small,Upi,Debit,Food
BigBasket POS Purchase BigBasket,820.45,6.711071071352346,Medium,Credit Card,Debit,Groceries
BPCL UPI/Paytm/BPCL,3749.88,8.229745758101208,Large,Upi,Debit,Fuel
Tata Power Electricity Bill Tata Power,5337.38,8.582677515141498,Large,Auto Debit,Debit,Bills
Nature's Basket UPI/Paytm/Nature's Basket,618.41,6.428767412064897,Small,Upi,Debit,Groceries
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2327.76,7.7530912160558,Medium,Net Banking,Debit,Bills
Nykaa UPI Collect Nykaa,560.76,6.331074712420122,Small,Upi,Debit,Shopping
Blinkit UPI Collect Blinkit,563.39,6.335745501891148,Small,Upi,Debit,Groceries
Indian Oil Debit Card POS Indian Oil,3577.34,8.182654284707779,Large,Debit Card,Debit,Fuel
Blinkit POS Purchase Blinkit,585.83,6.374735169706378,Small,Debit Card,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,44660.86,10.70687517253406,Large,Neft,Credit,Salary
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2388.37,7.778785011851051,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,6584.9,8.792686279097987,Large,Net Banking,Debit,Bills
Nature's Basket UPI Collect Nature's Basket,543.81,6.30043711002661,Small,Upi,Debit,Groceries
DMart Debit Card POS DMart,1368.55,7.222237497711735,Medium,Debit Card,Debit,Groceries
Starbucks India UPI Collect Starbucks India,162.56,5.097179895496441,Small,Upi,Debit,Food
Domino's India UPI Payment Domino's India,236.06,5.468313273651354,Small,Upi,Debit,Food
Zepto UPI/Paytm/Zepto,528.34,6.2716309475181005,Small,Upi,Debit,Groceries
Amazon Prime POS Purchase Amazon Prime,320.11,5.77178374355666,Small,Debit Card,Debit,Entertainment
Swiggy UPI Payment Swiggy,625.58,6.440276459719512,Small,Upi,Debit,Food
BigBasket Debit Card POS BigBasket,546.94,6.306165791902557,Small,Debit Card,Debit,Groceries
House Rent Payment IMPS Transfer House Rent Payment,43665.4,10.684334206626303,Large,Imps,Debit,Rent
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2595.99,7.8621083610584925,Medium,Net Banking,Debit,Bills
Meesho UPI Payment Meesho,2352.16,7.763514384715625,Medium,Upi,Debit,Shopping
Reliance Fresh POS Purchase Reliance Fresh,461.07,6.135716394755993,Small,Debit Card,Debit,Groceries
Zomato POS Purchase Zomato,198.84,5.297517046377267,Small,Credit Card,Debit,Food
McDonald's India Debit Card POS McDonald's India,244.99,5.505290884699608,Small,Debit Card,Debit,Food
BSNL Auto Debit BSNL,1406.8,7.249783481174031,Medium,Auto Debit,Debit,Bills
McDonald's India UPI Collect McDonald's India,306.28,5.7277593840376495,Small,Upi,Debit,Food
Reliance Fresh Debit Card POS Reliance Fresh,537.21,6.288248818573554,Small,Debit Card,Debit,Groceries
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1474.8,7.2969554946242665,Medium,Net Banking,Debit,Bills
Airtel UPI/Paytm/Airtel,1366.51,7.220746846883658,Medium,Upi,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,3868.48,8.26087541007072,Large,Net Banking,Debit,Bills
Indian Oil Debit Card POS Indian Oil,3607.41,8.191022511090027,Large,Debit Card,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1474.52,7.29676574901834,Medium,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2565.26,7.850204865062034,Medium,Auto Debit,Debit,Bills
Faasos POS Purchase Faasos,221.27,5.4038928590966755,Small,Credit Card,Debit,Food
BigBasket UPI/DR/259679860607/BigBasket,516.71,6.249415239927598,Small,Upi,Debit,Groceries
DMart Debit Card POS DMart,533.71,6.281724543855734,Small,Debit Card,Debit,Groceries
Municipal Water Department Auto Debit Municipal Water Department,210.18,5.352710850378369,Small,Auto Debit,Debit,Bills
Netflix POS Purchase Netflix,303.76,5.719524581604809,Small,Debit Card,Debit,Entertainment
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,6462.93,8.773992770934374,Large,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,166.32,5.119908146573998,Small,Auto Debit,Debit,Subscription
Lakme Salon POS Purchase Lakme Salon,1587.97,7.370841286559875,Medium,Debit Card,Debit,Miscellaneous
Municipal Water Department UPI/DR/911478777325/Municipal Water Department,223.52,5.413964790073998,Small,Upi,Debit,Bills
Ajio POS Purchase Ajio,2344.12,7.760091852278991,Medium,Credit Card,Debit,Shopping
Blinkit Debit Card POS Blinkit,534.44,6.283088838792387,Small,Debit Card,Debit,Groceries
Third Wave Coffee UPI Collect Third Wave Coffee,162.9,5.099256485749784,Small,Upi,Debit,Food
Municipal Water Department UPI Collect Municipal Water Department,213.46,5.368123240791999,Small,Upi,Debit,Bills
Cafe Coffee Day UPI/Paytm/Cafe Coffee Day,162.54,5.097057608733831,Small,Upi,Debit,Food
DMart POS Purchase DMart,1338.18,7.199812765334565,Medium,Credit Card,Debit,Groceries
Spotify Auto Debit Spotify,166.4,5.120386158055375,Small,Auto Debit,Debit,Subscription
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,6470.5,8.775163199882494,Large,Auto Debit,Debit,Bills
Bajaj Allianz Auto Debit Bajaj Allianz,8911.0,9.095153962167066,Large,Auto Debit,Debit,Insurance
Airtel Auto Debit Airtel,614.82,6.422954713040297,Small,Auto Debit,Debit,Bills
Blinkit Debit Card POS Blinkit,824.96,6.716546346198273,Medium,Debit Card,Debit,Groceries
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,3994.65,8.29296154834484,Large,Net Banking,Debit,Bills
BSNL Auto Debit BSNL,1315.74,7.182914263878613,Medium,Auto Debit,Debit,Bills
LIC Net Banking Payment LIC,8595.67,9.059130197954394,Large,Net Banking,Debit,Insurance
Reliance Fresh UPI Payment Reliance Fresh,647.02,6.473921560073516,Small,Upi,Debit,Groceries
Third Wave Coffee POS Purchase Third Wave Coffee,149.36,5.013032418695977,Small,Credit Card,Debit,Food
Blinkit UPI/DR/708019950256/Blinkit,515.3,6.2466879918856035,Small,Upi,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,47610.41,10.770827717377,Large,Neft,Credit,Salary
BigBasket UPI/Paytm/BigBasket,568.49,6.34474122347056,Small,Upi,Debit,Groceries
DMart Debit Card POS DMart,1307.9,7.176942368797674,Medium,Debit Card,Debit,Groceries
House Rent Payment IMPS Transfer House Rent Payment,42719.73,10.66243956150306,Large,Imps,Debit,Rent
Ajio POS Purchase Ajio,2258.21,7.722770473634736,Medium,Credit Card,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1449.92,7.279953116974156,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2447.57,7.803259459665716,Medium,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,162.49,5.0967518263873215,Small,Auto Debit,Debit,Subscription
House Rent Payment NEFT Rent Payment,43616.28,10.683208681094257,Large,Neft,Debit,Rent
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1446.77,7.277779720550282,Medium,Auto Debit,Debit,Bills
McDonald's India POS Purchase McDonald's India,308.19,5.733955974663749,Small,Debit Card,Debit,Food
BPCL UPI Payment BPCL,3596.67,8.18804169268326,Large,Upi,Debit,Fuel
Cafe Coffee Day POS Purchase Cafe Coffee Day,154.33,5.045551885999816,Small,Credit Card,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1541.45,7.341127340343309,Medium,Net Banking,Debit,Bills
DMart POS Purchase DMart,681.03,6.525073645145802,Medium,Debit Card,Debit,Groceries
Local Barbershop UPI/Paytm/Local Barbershop,1501.24,7.314712606510238,Medium,Upi,Debit,Miscellaneous
Nature's Basket UPI Collect Nature's Basket,516.16,6.248352304386352,Small,Upi,Debit,Groceries
Nature's Basket UPI/DR/304234972453/Nature's Basket,397.38,5.987406323647128,Small,Upi,Debit,Groceries
Jio Auto Debit Jio,638.69,6.460983684006252,Small,Auto Debit,Debit,Bills
Naturals Salon UPI/DR/473365362241/Naturals Salon,1577.39,7.364160619158686,Medium,Upi,Debit,Miscellaneous
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2701.22,7.901828936375125,Large,Net Banking,Debit,Bills
Third Wave Coffee UPI/DR/066589642953/Third Wave Coffee,146.91,4.996603980683279,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1546.73,7.344544620332328,Medium,Auto Debit,Debit,Bills
Blinkit POS Purchase Blinkit,464.83,6.14382076070048,Small,Debit Card,Debit,Groceries
Amazon Prime UPI/DR/630735497054/Amazon Prime,326.09,5.7902353623864,Small,Upi,Debit,Entertainment
Reliance Fresh POS Purchase Reliance Fresh,658.16,6.4909662971425295,Small,Credit Card,Debit,Groceries
Municipal Water Department Auto Debit Municipal Water Department,217.41,5.386374030368319,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1480.35,7.30070911315323,Medium,Auto Debit,Debit,Bills
Indian Oil UPI/DR/064805499622/Indian Oil,3904.33,8.270097565745521,Large,Upi,Debit,Fuel
Domino's India UPI/DR/237646304063/Domino's India,295.94,5.693530098191849,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,3750.81,8.229993669185037,Large,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,3576.46,8.182408330375786,Large,Auto Debit,Debit,Bills
Myntra UPI/DR/700980242296/Myntra,2362.12,7.767738058800589,Medium,Upi,Debit,Shopping
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2420.11,7.791981391676228,Medium,Net Banking,Debit,Bills
BigBasket UPI/DR/948231585398/BigBasket,1247.24,7.129489838132927,Medium,Upi,Debit,Groceries
HPCL UPI Payment HPCL,3336.12,8.112863438548326,Large,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1254.23,7.135074101706823,Medium,Auto Debit,Debit,Bills
Naturals Salon ATM Cash Withdrawal,1520.48,7.3274388243278565,Medium,Cash Withdrawal,Debit,Miscellaneous
Flipkart POS Purchase Flipkart,6021.86,8.703317508543119,Large,Credit Card,Debit,Shopping
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2280.48,7.732579634166422,Medium,Net Banking,Debit,Bills
Zepto POS Purchase Zepto,1299.0,7.170119543449628,Medium,Credit Card,Debit,Groceries
Nature's Basket Debit Card POS Nature's Basket,1254.27,7.135105967868944,Medium,Debit Card,Debit,Groceries
Meesho POS Purchase Meesho,577.47,6.36038668703494,Small,Credit Card,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1367.71,7.221623969393497,Medium,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,162.6,5.097424424168647,Small,Auto Debit,Debit,Subscription
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2388.61,7.778885451693947,Medium,Net Banking,Debit,Bills
HPCL UPI Collect HPCL,3354.94,8.118487189000577,Large,Upi,Debit,Fuel
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1295.05,7.167076456414935,Medium,Auto Debit,Debit,Bills
BookMyShow POS Purchase BookMyShow,149.13,5.011501585424214,Small,Credit Card,Debit,Entertainment
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1325.37,7.190201166513668,Medium,Net Banking,Debit,Bills
Employer Salary Credit NEFT Salary Credit,43599.35,10.68282045682784,Large,Neft,Credit,Salary
Bajaj Allianz Net Banking Payment Bajaj Allianz,8748.91,9.076798693584475,Large,Net Banking,Debit,Insurance
HPCL POS Purchase HPCL,3291.7,8.099463175888001,Large,Debit Card,Debit,Fuel
Cafe Coffee Day POS Purchase Cafe Coffee Day,446.92,6.1046146450406376,Small,Debit Card,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2337.48,7.757256424638455,Medium,Net Banking,Debit,Bills
Bharat Gas Auto Debit Bharat Gas,395.8,5.983432375410718,Small,Auto Debit,Debit,Bills
Myntra POS Purchase Myntra,577.49,6.360421260399623,Small,Credit Card,Debit,Shopping
Burger King Debit Card POS Burger King,434.5,6.0764947962925575,Small,Debit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2523.03,7.8336121094858715,Medium,Auto Debit,Debit,Bills
HPCL UPI Payment HPCL,3201.0,8.07153089355666,Large,Upi,Debit,Fuel
Indane Gas Auto Debit Indane Gas,382.12,5.948348256034354,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,2585.38,7.8580144936253715,Medium,Auto Debit,Debit,Bills
Faasos POS Purchase Faasos,426.95,6.059006366327619,Small,Credit Card,Debit,Food
Amazon Prime POS Purchase Amazon Prime,316.11,5.759248716840184,Small,Credit Card,Debit,Entertainment
Municipal Water Department UPI/DR/020876231693/Municipal Water Department,221.04,5.40285754582196,Small,Upi,Debit,Bills
Local Wine & Beer Shop UPI/DR/111340362650/Local Wine & Beer Shop,1668.35,7.420189608087544,Medium,Upi,Debit,Food
HPCL UPI/Paytm/HPCL,3285.43,8.097557148222272,Large,Upi,Debit,Fuel
Burger King Debit Card POS Burger King,217.72,5.38779237297564,Small,Debit Card,Debit,Food
Social UPI/Paytm/Social,526.31,6.267788610892916,Small,Upi,Debit,Food
Airtel UPI/DR/171302399139/Airtel,1267.1,7.145274996240854,Medium,Upi,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2304.24,7.742940071485538,Medium,Net Banking,Debit,Bills
Toit Brewpub POS Purchase Toit Brewpub,484.79,6.18577643175349,Small,Credit Card,Debit,Food
Amazon Prime POS Purchase Amazon Prime,706.29,6.561440765669695,Medium,Debit Card,Debit,Entertainment
HPCL UPI Payment HPCL,3198.51,8.070752952062989,Large,Upi,Debit,Fuel
House Rent Payment NEFT Rent Payment,42894.11,10.666513112405223,Large,Neft,Debit,Rent
Jio Fiber Auto Debit Jio Fiber,1350.83,7.209214509052047,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1276.08,7.152331500898813,Medium,Auto Debit,Debit,Bills
Nykaa UPI/Paytm/Nykaa,5852.59,8.674810427217944,Large,Upi,Debit,Shopping
Municipal Water Department Auto Debit Municipal Water Department,215.41,5.377174756625531,Small,Auto Debit,Debit,Bills
House Rent Payment NEFT Rent Payment,42974.07,10.668375459103709,Large,Neft,Debit,Rent
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1314.96,7.182321716286543,Medium,Auto Debit,Debit,Bills
Municipal Water Department UPI/Paytm/Municipal Water Department,202.25,5.31443674842792,Small,Upi,Debit,Bills
Blinkit POS Purchase Blinkit,526.15,6.267485138022959,Small,Credit Card,Debit,Groceries
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1336.39,7.198475232397367,Medium,Net Banking,Debit,Bills
Tata Power UPI Payment Tata Power,5134.2,8.543874069997567,Large,Upi,Debit,Bills
Zepto UPI Collect Zepto,481.99,6.179995949504496,Small,Upi,Debit,Groceries
Faasos UPI/DR/168707319671/Faasos,177.37,5.183860044570212,Small,Upi,Debit,Food
BSNL Auto Debit BSNL,632.02,6.450502017221666,Small,Auto Debit,Debit,Bills
Amazon Prime POS Purchase Amazon Prime,318.31,5.766162417739561,Small,Credit Card,Debit,Entertainment
Spotify Auto Debit Spotify,150.52,5.020717629437768,Small,Auto Debit,Debit,Subscription
Burger King UPI/Paytm/Burger King,330.62,5.803989735073227,Small,Upi,Debit,Food
DMart UPI Payment DMart,530.69,6.276060612735158,Small,Upi,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,47291.68,10.764110805632908,Large,Neft,Credit,Salary
ICICI Lombard Net Banking Payment ICICI Lombard,8406.07,9.036828297495303,Large,Net Banking,Debit,Insurance
Airtel Net Banking Payment Airtel,640.68,6.464089737058669,Small,Net Banking,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1644.51,7.405805645545117,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1478.69,7.299587885359005,Medium,Auto Debit,Debit,Bills
Faasos UPI/DR/955054429952/Faasos,359.66,5.887935686279126,Small,Upi,Debit,Food
BigBasket POS Purchase BigBasket,1004.08,6.912822419315155,Medium,Debit Card,Debit,Groceries
Spotify Auto Debit Spotify,160.79,5.086299198017246,Small,Auto Debit,Debit,Subscription
DMart UPI Payment DMart,490.12,6.196688497119241,Small,Upi,Debit,Groceries
Indane Gas UPI/DR/841117499748/Indane Gas,412.84,6.025479425695259,Small,Upi,Debit,Bills
Netflix POS Purchase Netflix,713.08,6.57099500088096,Medium,Credit Card,Debit,Entertainment
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1554.91,7.349815862448537,Medium,Net Banking,Debit,Bills
Swiggy UPI Collect Swiggy,346.75,5.851483830803552,Small,Upi,Debit,Food
Bajaj Allianz Net Banking Payment Bajaj Allianz,8830.08,9.086032596424486,Large,Net Banking,Debit,Insurance
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1661.33,7.415975511662447,Medium,Net Banking,Debit,Bills
Domino's India POS Purchase Domino's India,211.12,5.357152152268929,Small,Credit Card,Debit,Food
BEST Electricity Bill BEST,5111.45,8.539434020352132,Large,Auto Debit,Debit,Bills
Jio UPI Collect Jio,614.23,6.421996181631867,Small,Upi,Debit,Bills
Reliance Fresh UPI Payment Reliance Fresh,465.69,6.145665225685282,Small,Upi,Debit,Groceries
Local Wine & Beer Shop UPI/DR/223572477952/Local Wine & Beer Shop,1698.31,7.437977565298829,Medium,Upi,Debit,Food
House Rent Payment NEFT Rent Payment,43485.0,10.680194326195004,Large,Neft,Debit,Rent
HPCL POS Purchase HPCL,3027.32,8.015763289290609,Large,Debit Card,Debit,Fuel
Netflix UPI/Paytm/Netflix,319.96,5.771316504773571,Small,Upi,Debit,Entertainment
The Beer Cafe UPI Collect The Beer Cafe,1804.91,7.498819898848138,Medium,Upi,Debit,Food
Indian Oil UPI Collect Indian Oil,3270.59,8.09303138424776,Large,Upi,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1281.97,7.156932981645452,Medium,Net Banking,Debit,Bills
BPCL POS Purchase BPCL,3373.49,8.123999480777085,Large,Debit Card,Debit,Fuel
Zomato POS Purchase Zomato,415.08,6.030877549464817,Small,Debit Card,Debit,Food
Burger King UPI/DR/078782558598/Burger King,169.77,5.140317621899148,Small,Upi,Debit,Food
EatClub UPI Collect EatClub,419.26,6.040873567365525,Small,Upi,Debit,Food
Indian Oil UPI Collect Indian Oil,3062.25,8.027231722829557,Large,Upi,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1368.44,7.222157176133299,Medium,Net Banking,Debit,Bills
Local Barbershop UPI Payment Local Barbershop,1566.84,7.357454154887508,Medium,Upi,Debit,Miscellaneous
Airtel UPI Collect Airtel,1340.07,7.201223081770172,Medium,Upi,Debit,Bills
DMart UPI/Paytm/DMart,995.31,6.904058454137847,Medium,Upi,Debit,Groceries
Ajio POS Purchase Ajio,5641.04,8.63800098122132,Large,Debit Card,Debit,Shopping
Local Barbershop UPI Payment Local Barbershop,1527.2,7.331845851213466,Medium,Upi,Debit,Miscellaneous
BookMyShow POS Purchase BookMyShow,311.18,5.743579944530267,Small,Debit Card,Debit,Entertainment
Netflix UPI Collect Netflix,665.54,6.5021001528216855,Medium,Upi,Debit,Entertainment
Burger King UPI/DR/027613112399/Burger King,163.72,5.104247062719534,Small,Upi,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1189.92,7.082481396654261,Medium,Auto Debit,Debit,Bills
Blinkit UPI Collect Blinkit,478.22,6.172159782157353,Small,Upi,Debit,Groceries
Zomato UPI/Paytm/Zomato,449.09,6.1094475627670315,Small,Upi,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2662.02,7.887216096112429,Large,Net Banking,Debit,Bills
BigBasket UPI/Paytm/BigBasket,614.88,6.423052139361718,Small,Upi,Debit,Groceries
Employer Salary Credit NEFT Salary Credit,44682.35,10.707356227991077,Large,Neft,Credit,Salary
Adani Electricity Electricity Bill Adani Electricity,5150.03,8.546951973660448,Large,Auto Debit,Debit,Bills
Airtel Auto Debit Airtel,630.89,6.448715328365377,Small,Auto Debit,Debit,Bills
BSNL Auto Debit BSNL,645.23,6.471155477568118,Small,Auto Debit,Debit,Bills
Indian Oil POS Purchase Indian Oil,3550.71,8.175184456634852,Large,Debit Card,Debit,Fuel
BPCL POS Purchase BPCL,3961.15,8.284542086208672,Large,Debit Card,Debit,Fuel
HP Gas UPI Collect HP Gas,387.63,5.962627734169424,Small,Upi,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2664.95,7.88831574587411,Large,Net Banking,Debit,Bills
Blinkit UPI Collect Blinkit,486.47,6.189228750082795,Small,Upi,Debit,Groceries
Ajio Debit Card POS Ajio,593.55,6.3878048168835875,Small,Debit Card,Debit,Shopping
Domino's India POS Purchase Domino's India,447.69,6.106332226127837,Small,Debit Card,Debit,Food
Spotify Auto Debit Spotify,152.25,5.032070574816321,Small,Auto Debit,Debit,Subscription
Blinkit UPI Payment Blinkit,604.65,6.406302261462812,Small,Upi,Debit,Groceries
Spotify Auto Debit Spotify,160.86,5.086731764067556,Small,Auto Debit,Debit,Subscription
Netflix UPI/Paytm/Netflix,321.81,5.777063914850281,Small,Upi,Debit,Entertainment
Airtel UPI/DR/741966192339/Airtel,1380.94,7.231243588045055,Medium,Upi,Debit,Bills
Airtel UPI/Paytm/Airtel,1343.81,7.2040080181167285,Medium,Upi,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1537.78,7.338745173653048,Medium,Net Banking,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1139.35,7.039090511812159,Medium,Net Banking,Debit,Bills
Adani Electricity Electricity Bill Adani Electricity,5237.62,8.563813383851448,Large,Auto Debit,Debit,Bills
Meesho UPI Collect Meesho,619.83,6.431057292443675,Small,Upi,Debit,Shopping
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,5803.34,8.666361192577776,Large,Auto Debit,Debit,Bills
Spotify Auto Debit Spotify,151.53,5.027361298011842,Small,Auto Debit,Debit,Subscription
HPCL UPI Payment HPCL,4080.38,8.314190445503662,Large,Upi,Debit,Fuel
BPCL POS Purchase BPCL,4008.64,8.29645674070945,Large,Debit Card,Debit,Fuel
Reliance Fresh Debit Card POS Reliance Fresh,500.52,6.217643486965713,Small,Debit Card,Debit,Groceries
House Rent Payment NEFT Rent Payment,43897.05,10.689625178942308,Large,Neft,Debit,Rent
Amazon India UPI Collect Amazon India,642.32,6.466642267627447,Small,Upi,Debit,Shopping
Flipkart UPI/Paytm/Flipkart,625.75,6.440547737038402,Small,Upi,Debit,Shopping
BPCL UPI/Paytm/BPCL,3362.94,8.120868185024145,Large,Upi,Debit,Fuel
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1204.77,7.094873645997914,Medium,Net Banking,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,42678.72,10.66147914494431,Large,Imps,Debit,Rent
Municipal Water Department Net Banking Payment Municipal Water Department,211.64,5.3596005949649355,Small,Net Banking,Debit,Bills
Amazon India Debit Card POS Amazon India,2186.98,7.69073402273227,Medium,Debit Card,Debit,Shopping
Tata Power Electricity Bill Tata Power,5394.61,8.593340938955805,Large,Auto Debit,Debit,Bills
Municipal Water Department Auto Debit Municipal Water Department,223.79,5.415166633044329,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1136.72,7.036781538717868,Medium,Auto Debit,Debit,Bills
Flipkart POS Purchase Flipkart,605.15,6.407127480192592,Small,Credit Card,Debit,Shopping
Amazon India POS Purchase Amazon India,586.53,6.375927308544388,Small,Debit Card,Debit,Shopping
Employer Salary Credit NEFT Salary Credit,46530.38,10.747882202683874,Large,Neft,Credit,Salary
Bajaj Allianz Net Banking Payment Bajaj Allianz,8319.52,9.02648003186221,Large,Net Banking,Debit,Insurance
Jio Fiber Net Banking Payment Jio Fiber,1404.45,7.24811281518516,Medium,Net Banking,Debit,Bills
House Rent Payment IMPS Transfer House Rent Payment,42866.76,10.665875307235522,Large,Imps,Debit,Rent
Myntra POS Purchase Myntra,2187.79,7.691104158704344,Medium,Debit Card,Debit,Shopping
Jio Auto Debit Jio,593.41,6.387569316949785,Small,Auto Debit,Debit,Bills
Faasos Debit Card POS Faasos,205.22,5.328943560089797,Small,Debit Card,Debit,Food
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1103.19,7.00686731347856,Medium,Auto Debit,Debit,Bills
Credit Card Bill Payment Auto Debit Credit Card Bill Payment,1577.81,7.364426677693133,Medium,Auto Debit,Debit,Bills
Zomato UPI/Paytm/Zomato,461.3,6.1362140309941795,Small,Upi,Debit,Food
Bharat Gas Auto Debit Bharat Gas,401.43,5.997521168690513,Small,Auto Debit,Debit,Bills
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,1524.91,7.33034623238562,Medium,Net Banking,Debit,Bills
Indian Oil UPI Payment Indian Oil,3203.68,8.072367520376268,Large,Upi,Debit,Fuel
HDFC Ergo Auto Debit HDFC Ergo,8758.84,9.07793291892345,Large,Auto Debit,Debit,Insurance
BPCL Debit Card POS BPCL,3902.17,8.26954432247086,Large,Debit Card,Debit,Fuel
Indian Oil UPI/Paytm/Indian Oil,3791.73,8.240841355395657,Large,Upi,Debit,Fuel
McDonald's India Debit Card POS McDonald's India,200.18,5.304200029706192,Small,Debit Card,Debit,Food
Credit Card Bill Payment Net Banking Payment Credit Card Bill Payment,2699.98,7.901369949100262,Large,Net Banking,Debit,Bills
Myntra Debit Card POS Myntra,539.42,6.292346615023706,Small,Debit Card,Debit,Shopping
BookMyShow UPI Payment BookMyShow,319.43,5.769663843769714,Small,Upi,Debit,Entertainment
