merchant,amount,category
Credit Card Bill Payment,1982.53,Bills
Nature's Basket,604.94,Groceries
BPCL,3290.82,Fuel
Credit Card Bill Payment,1774.19,Bills
Spotify,154.03,Subscription
Local Wine & Beer Shop,997.22,Food
Tata Power,5023.96,Bills
Starbucks India,148.97,Food
Municipal Water Department,216.12,Bills
Credit Card Bill Payment,1884.67,Bills
The Beer Cafe,1027.42,Food
HPCL,3234.15,Fuel
Credit Card Bill Payment,1486.42,Bills
Credit Card Bill Payment,3390.54,Bills
Ace Hardware India,8441.15,Miscellaneous
Credit Card Bill Payment,3747.24,Bills
Naturals Salon,1517.87,Miscellaneous
BPCL,3269.48,Fuel
Employer Salary Credit,46265.66,Salary
Meesho,549.27,Shopping
Airtel,188.56,Bills
Nature's Basket,879.25,Groceries
Adani Electricity,4963.3,Bills
Home Depot India,8311.09,Miscellaneous
Jio Fiber,1402.24,Bills
Tata Play,824.41,Subscription
Credit Card Bill Payment,1476.41,Bills
Local Wine & Beer Shop,1020.72,Food
House Rent Payment,7658.91,Rent
Naturals Salon,1585.54,Miscellaneous
Burger King,312.06,Food
Naturals Salon,1534.72,Miscellaneous
Reliance Fresh,807.7,Groceries
Myntra,577.3,Shopping
Toit Brewpub,1000.34,Food
Third Wave Coffee,159.71,Food
Domino's India,313.98,Food
Credit Card Bill Payment,1803.02,Bills
Municipal Water Department,206.73,Bills
BPCL,2908.65,Fuel
BigBasket,811.61,Groceries
Cafe Coffee Day,154.93,Food
Jio Fiber,1326.07,Bills
Dish TV,833.46,Subscription
Indane Gas,420.78,Bills
HPCL,3951.02,Fuel
ICICI Lombard,8967.86,Insurance
Credit Card Bill Payment,1489.25,Bills
Home Depot India,8286.68,Miscellaneous
Credit Card Bill Payment,3352.5,Bills
Cafe Coffee Day,157.19,Food
Credit Card Bill Payment,3295.5,Bills
Spotify,155.62,Subscription
Spotify,159.92,Subscription
Credit Card Bill Payment,2650.73,Bills
Employer Salary Credit,43178.85,Salary
Bharat Gas,404.09,Bills
Tata Power,5427.54,Bills
Bajaj Allianz,8989.75,Insurance
Municipal Water Department,212.97,Bills
Reliance Fresh,452.86,Groceries
Airtel,208.94,Bills
Credit Card Bill Payment,2408.91,Bills
Toit Brewpub,1041.05,Food
Meesho,537.66,Shopping
Bajaj Allianz,8843.13,Insurance
House Rent Payment,8334.9,Rent
Credit Card Bill Payment,3223.81,Bills
HPCL,3009.19,Fuel
HPCL,3021.93,Fuel
HPCL,2724.63,Fuel
Airtel,1289.35,Bills
Credit Card Bill Payment,1502.87,Bills
Dish TV,827.88,Subscription
Zepto,454.09,Groceries
BigBasket,454.94,Groceries
Credit Card Bill Payment,5967.97,Bills
Credit Card Bill Payment,2504.6,Bills
Cafe Coffee Day,336.45,Food
Starbucks India,140.44,Food
BigBasket,488.21,Groceries
Jio,201.17,Bills
Meesho,2693.4,Shopping
Burger King,206.5,Food
Nature's Basket,2465.61,Groceries
Third Wave Coffee,226.02,Food
Cafe Coffee Day,313.23,Food
Credit Card Bill Payment,2539.75,Bills
HPCL,3368.81,Fuel
Employer Salary Credit,62918.91,Salary
Credit Card Bill Payment,2279.9,Bills
HPCL,3357.47,Fuel
Local Barbershop,1581.99,Miscellaneous
Swiggy,478.21,Food
Bharat Gas,381.3,Bills
ICICI Lombard,8358.0,Insurance
DMart,660.68,Groceries
Credit Card Bill Payment,2372.47,Bills
Bajaj Allianz,8425.93,Insurance
Bharat Gas,388.13,Bills
Barbeque Nation,343.18,Food
Swiggy,203.85,Food
Credit Card Bill Payment,1717.06,Bills
Home Depot India,530.73,Miscellaneous
Ace Hardware India,536.43,Miscellaneous
Local Hardware Store,709.38,Miscellaneous
Amazon India,2651.57,Shopping
Airtel Digital TV,800.26,Subscription
Bharat Gas,411.05,Bills
Cafe Coffee Day,355.32,Food
BSNL,1410.12,Bills
Toit Brewpub,1288.99,Food
Credit Card Bill Payment,1691.09,Bills
Faasos,332.1,Food
Credit Card Bill Payment,2595.06,Bills
EatClub,324.45,Food
Cafe Coffee Day,188.77,Food
Nykaa,585.72,Shopping
Credit Card Bill Payment,2313.05,Bills
Lakme Salon,1507.28,Miscellaneous
Reliance Fresh,2279.74,Groceries
Barbeque Nation,345.13,Food
ICICI Lombard,8993.8,Insurance
McDonald's India,349.96,Food
Credit Card Bill Payment,2813.54,Bills
BigBasket,732.58,Groceries
Nature's Basket,710.31,Groceries
Local Hardware Store,659.9,Miscellaneous
Faasos,329.79,Food
Credit Card Bill Payment,2729.35,Bills
Spotify,161.8,Subscription
Starbucks India,224.43,Food
Credit Card Bill Payment,2719.3,Bills
Burger King,506.16,Food
Nature's Basket,2488.31,Groceries
Municipal Water Department,209.41,Bills
Ace Hardware India,532.26,Miscellaneous
Nature's Basket,483.25,Groceries
Faasos,319.84,Food
Employer Salary Credit,65194.21,Salary
Bharat Gas,384.66,Bills
Third Wave Coffee,217.33,Food
Credit Card Bill Payment,2181.51,Bills
Local Hardware Store,692.36,Miscellaneous
Home Depot India,680.69,Miscellaneous
House Rent Payment,8033.08,Rent
Local Hardware Store,559.45,Miscellaneous
Naturals Salon,1526.97,Miscellaneous
Social,1273.6,Food
House Rent Payment,8314.94,Rent
Spotify,151.8,Subscription
Airtel Digital TV,844.91,Subscription
Reliance Fresh,486.1,Groceries
Blinkit,2330.56,Groceries
Social,1265.59,Food
Credit Card Bill Payment,2515.51,Bills
Reliance Fresh,651.86,Groceries
BEST,5083.78,Bills
Jio Fiber,1298.54,Bills
Credit Card Bill Payment,2307.5,Bills
Credit Card Bill Payment,2786.75,Bills
Burger King,345.83,Food
Zepto,2589.62,Groceries
Credit Card Bill Payment,2373.59,Bills
Chaayos,139.24,Food
Ajio,577.92,Shopping
EatClub,336.25,Food
Municipal Water Department,226.25,Bills
EatClub,318.1,Food
Indian Oil,3568.22,Fuel
Credit Card Bill Payment,2359.1,Bills
Reliance Fresh,662.98,Groceries
Reliance Fresh,976.44,Groceries
BigBasket,942.31,Groceries
Credit Card Bill Payment,1733.23,Bills
Jio Fiber,1260.72,Bills
Credit Card Bill Payment,2433.02,Bills
Flipkart,565.9,Shopping
BSNL,194.56,Bills
Municipal Water Department,223.08,Bills
Zepto,466.97,Groceries
Employer Salary Credit,64085.11,Salary
Credit Card Bill Payment,3144.96,Bills
BPCL,3326.2,Fuel
Zomato,343.06,Food
Credit Card Bill Payment,8122.37,Bills
Blinkit,463.69,Groceries
Spotify,166.92,Subscription
Ace Hardware India,529.16,Miscellaneous
Credit Card Bill Payment,1690.06,Bills
Local Hardware Store,619.17,Miscellaneous
Credit Card Bill Payment,3094.4,Bills
BPCL,3112.24,Fuel
Credit Card Bill Payment,3006.56,Bills
Jio,187.74,Bills
BSNL,1337.57,Bills
Social,1168.68,Food
Starbucks India,142.07,Food
Home Depot India,600.06,Miscellaneous
Ace Hardware India,597.31,Miscellaneous
Credit Card Bill Payment,1579.57,Bills
Burger King,476.85,Food
Starbucks India,143.5,Food
Credit Card Bill Payment,1721.41,Bills
Ace Hardware India,611.9,Miscellaneous
Credit Card Bill Payment,4001.14,Bills
Third Wave Coffee,137.34,Food
Reliance Fresh,626.82,Groceries
Chaayos,138.41,Food
HPCL,3403.18,Fuel
Credit Card Bill Payment,1742.7,Bills
Adani Electricity,5416.43,Bills
BSNL,191.42,Bills
Naturals Salon,192.12,Miscellaneous
Ace Hardware India,570.6,Miscellaneous
EatClub,436.46,Food
Airtel Digital TV,780.34,Subscription
Credit Card Bill Payment,1405.66,Bills
Starbucks India,139.43,Food
Domino's India,305.64,Food
House Rent Payment,7822.56,Rent
Credit Card Bill Payment,1759.74,Bills
Swiggy,148.84,Food
Chaayos,147.5,Food
Municipal Water Department,227.07,Bills
Employer Salary Credit,66323.7,Salary
Bharat Gas,407.33,Bills
Domino's India,347.16,Food
Ace Hardware India,541.21,Miscellaneous
Chaayos,138.43,Food
Cafe Coffee Day,143.24,Food
The Beer Cafe,1126.34,Food
Swiggy,490.45,Food
Dish TV,813.9,Subscription
EatClub,468.39,Food
Credit Card Bill Payment,8770.03,Bills
HPCL,3322.95,Fuel
Credit Card Bill Payment,8907.87,Bills
Credit Card Bill Payment,1563.41,Bills
BSNL,1325.42,Bills
Municipal Water Department,226.83,Bills
Credit Card Bill Payment,8359.8,Bills
Cafe Coffee Day,302.25,Food
HDFC Ergo,8456.97,Insurance
Bharat Gas,386.79,Bills
House Rent Payment,8106.69,Rent
Nature's Basket,639.31,Groceries
Zomato,332.28,Food
Cafe Coffee Day,152.71,Food
HDFC Ergo,8269.12,Insurance
DMart,597.19,Groceries
Amazon India,561.58,Shopping
Credit Card Bill Payment,3167.36,Bills
Amazon India,576.09,Shopping
Chaayos,140.52,Food
Third Wave Coffee,144.9,Food
Zepto,456.35,Groceries
Reliance Fresh,1007.38,Groceries
EatClub,146.86,Food
Third Wave Coffee,137.41,Food
Credit Card Bill Payment,1739.21,Bills
Spotify,150.05,Subscription
Home Depot India,548.96,Miscellaneous
Reliance Fresh,605.77,Groceries
HP Gas,376.96,Bills
Barbeque Nation,157.17,Food
Lakme Salon,196.57,Miscellaneous
Employer Salary Credit,67511.5,Salary
Bharat Gas,419.34,Bills
Municipal Water Department,220.75,Bills
Barbeque Nation,337.24,Food
Credit Card Bill Payment,3071.03,Bills
Starbucks India,144.84,Food
Indian Oil,3490.36,Fuel
House Rent Payment,7646.7,Rent
Third Wave Coffee,167.35,Food
DMart,1824.12,Groceries
Flipkart,1484.04,Shopping
Reliance Fresh,959.07,Groceries
Credit Card Bill Payment,9504.31,Bills
HPCL,3305.27,Fuel
HPCL,3144.55,Fuel
Airtel Digital TV,792.72,Subscription
Credit Card Bill Payment,3147.49,Bills
Credit Card Bill Payment,9935.19,Bills
Indane Gas,387.22,Bills
Bajaj Allianz,8076.08,Insurance
Credit Card Bill Payment,2039.07,Bills
Chaayos,152.48,Food
Swiggy,472.9,Food
Starbucks India,145.16,Food
Social,1219.38,Food
Credit Card Bill Payment,992.67,Bills
Credit Card Bill Payment,995.52,Bills
Amazon India,911.46,Shopping
Spotify,155.75,Subscription
Credit Card Bill Payment,10946.9,Bills
Third Wave Coffee,116.81,Food
Local Wine & Beer Shop,1224.64,Food
Credit Card Bill Payment,10130.0,Bills
Spotify,160.77,Subscription
Credit Card Bill Payment,1501.08,Bills
Flipkart,1501.37,Shopping
Credit Card Bill Payment,4138.51,Bills
Amazon India,593.85,Shopping
Airtel,189.72,Bills
Credit Card Bill Payment,3249.57,Bills
BPCL,282.59,Fuel
Local Wine & Beer Shop,2532.28,Food
The Beer Cafe,1199.09,Food
Credit Card Bill Payment,957.64,Bills
Swiggy,1218.11,Food
Social,888.8,Food
Employer Salary Credit,68118.93,Salary
Third Wave Coffee,158.06,Food
Credit Card Bill Payment,3315.8,Bills
Credit Card Bill Payment,1023.54,Bills
Credit Card Bill Payment,2067.55,Bills
Municipal Water Department,222.14,Bills
Amazon India,1490.46,Shopping
Credit Card Bill Payment,3272.83,Bills
Credit Card Bill Payment,9199.89,Bills
DMart,1327.69,Groceries
Indian Oil,2812.36,Fuel
HPCL,3135.32,Fuel
Swiggy,450.7,Food
Myntra,905.17,Shopping
Credit Card Bill Payment,9844.44,Bills
House Rent Payment,8163.2,Rent
BigBasket,919.77,Groceries
Airtel,192.49,Bills
Tata Power,5068.43,Bills
Dish TV,803.15,Subscription
Meesho,544.02,Shopping
Dish TV,778.22,Subscription
Local Wine & Beer Shop,1257.95,Food
ICICI Lombard,8073.43,Insurance
Tata Power,5409.28,Bills
Credit Card Bill Payment,9691.96,Bills
Credit Card Bill Payment,3261.73,Bills
Bharat Gas,406.28,Bills
BigBasket,1310.55,Groceries
Ace Hardware India,535.3,Miscellaneous
HPCL,2692.36,Fuel
DMart,1310.43,Groceries
Burger King,1148.04,Food
Credit Card Bill Payment,951.04,Bills
Nature's Basket,1266.06,Groceries
Chaayos,134.84,Food
Toit Brewpub,1208.26,Food
McDonald's India,1253.33,Food
Credit Card Bill Payment,1518.33,Bills
Spotify,163.21,Subscription
Starbucks India,144.95,Food
Home Depot India,509.16,Miscellaneous
Third Wave Coffee,118.72,Food
House Rent Payment,8259.41,Rent
Credit Card Bill Payment,9600.09,Bills
HPCL,297.14,Fuel
Cafe Coffee Day,133.25,Food
Indane Gas,407.47,Bills
Nature's Basket,1282.72,Groceries
Indian Oil,3054.74,Fuel
Employer Salary Credit,62150.48,Salary
Municipal Water Department,201.62,Bills
Jio,210.24,Bills
Credit Card Bill Payment,9024.34,Bills
Amazon India,922.46,Shopping
Airtel,1318.5,Bills
Credit Card Bill Payment,1015.24,Bills
Social,1289.31,Food
Airtel,1359.88,Bills
Municipal Water Department,225.44,Bills
Credit Card Bill Payment,9542.5,Bills
Credit Card Bill Payment,973.88,Bills
Credit Card Bill Payment,1440.81,Bills
Chaayos,142.2,Food
Tea Stall,34.47,Other
DMart,1722.01,Groceries
Swiggy,116.0,Food
BEST,3690.12,Bills
Tata Power,720.95,Bills
Domino's India,188.77,Food
Tailor,381.19,Other
Local Services,1301.4,Other
Misc Vendor,554.73,Other
Airtel,6710.98,Bills
Tata Power,1423.08,Bills
Tailor,2366.08,Other
Third Wave Coffee,559.61,Food
BookMyShow,220.19,Entertainment
Flower Shop,390.94,Other
Employer Salary Credit,43271.2,Salary
Domino's India,329.01,Food
Myntra,298.19,Shopping
Bharat Gas,5251.36,Bills
Local Wine & Beer Shop,564.79,Food
Jio,784.01,Bills
Credit Card Bill Payment,2904.21,Bills
Laundry,712.26,Other
Starbucks India,289.32,Food
Credit Card Bill Payment,592.19,Bills
Indian Oil,2138.69,Fuel
Street Vendor,127.88,Other
Bakery,367.77,Other
House Rent Payment,7953.52,Rent
Tata Power,1434.85,Bills
Municipal Water Department,798.3,Bills
Tata Power,1157.01,Bills
Airtel,4782.61,Bills
Tata Power,1305.89,Bills
Swiggy,1200.42,Food
Credit Card Bill Payment,1983.91,Bills
BigBasket,300.0,Groceries
Credit Card Bill Payment,559.29,Bills
Jio Fiber,2158.4,Bills
KFC India,264.37,Food
Swiggy,439.88,Food
Cafe Coffee Day,773.07,Food
Airtel,2098.83,Bills
Zomato,1813.41,Food
Faasos,819.32,Food
Credit Card Bill Payment,6805.12,Bills
Amazon Prime,313.7,Subscription
DMart,707.1,Groceries
Employer Salary Credit,50578.37,Salary
KFC India,1076.8,Food
EatClub,1739.38,Food
Bharat Gas,3765.97,Bills
Spotify,850.0,Subscription
Reliance Fresh,343.5,Groceries
Mobile Repair,690.66,Other
Indian Oil,2971.11,Fuel
Tea Stall,131.76,Other
Ajio,1143.09,Shopping
Reliance Fresh,941.07,Groceries
Credit Card Bill Payment,2513.01,Bills
Employer Salary Credit,45739.84,Salary
Blinkit,300.0,Groceries
Chaayos,1794.63,Food
Credit Card Bill Payment,833.71,Bills
Spotify,149.0,Subscription
BookMyShow,237.48,Entertainment
Mobile Repair,412.32,Other
Jio,7545.04,Bills
Indane Gas,187.0,Bills
Credit Card Bill Payment,712.64,Bills
Credit Card Bill Payment,489.1,Bills
BigBasket,1550.25,Groceries
Local Store,2272.87,Other
Netflix,175.31,Subscription
Credit Card Bill Payment,4670.64,Bills
Zomato,296.76,Food
McDonald's India,116.0,Food
HPCL,4507.02,Fuel
Indian Oil,4429.38,Fuel
Faasos,631.19,Food
Domino's India,991.3,Food
Street Vendor,272.74,Other
HP Gas,2421.9,Bills
Myntra,288.0,Shopping
Indian Oil,3583.44,Fuel
Bharat Gas,322.01,Bills
Employer Salary Credit,51984.61,Salary
Jio Fiber,2594.14,Bills
BigBasket,346.91,Groceries
House Rent Payment,7610.06,Rent
Employer Salary Credit,38749.41,Salary
Municipal Water Department,6837.82,Bills
Jio Fiber,5983.69,Bills
Zomato,117.59,Food
BookMyShow,243.93,Entertainment
BEST,779.77,Bills
BookMyShow,267.34,Entertainment
Laundry,2103.52,Other
KFC India,145.6,Food
Flower Shop,82.2,Other
Employer Salary Credit,38906.12,Salary
Nature's Basket,1240.28,Groceries
Unknown Merchant,328.67,Other
Zomato,167.19,Food
Blinkit,439.44,Groceries
HDFC Ergo,8142.45,Insurance
Laundry,996.01,Other
Employer Salary Credit,42260.69,Salary
BookMyShow,309.91,Entertainment
Lakme Salon,101.55,Miscellaneous
DMart,432.03,Groceries
Credit Card Bill Payment,187.0,Bills
Nature's Basket,386.4,Groceries
BSNL,3909.49,Bills
HPCL,2778.55,Fuel
IRCTC,746.78,Miscellaneous
Jio,4062.01,Bills
BEST,1987.08,Bills
Faasos,116.0,Food
Airtel,1797.25,Bills
Toit Brewpub,523.46,Food
BPCL,3058.43,Fuel
House Rent Payment,41465.79,Rent
Jio,3034.93,Bills
Airtel,632.42,Bills
Indane Gas,559.61,Bills
Employer Salary Credit,51917.28,Salary
Municipal Water Department,1204.76,Bills
Nykaa,6245.92,Shopping
Swiggy,272.38,Food
Unknown Merchant,108.34,Other
IRCTC,1391.19,Miscellaneous
DMart,698.71,Groceries
Flipkart,14508.05,Shopping
Mobile Repair,1079.95,Other
DMart,651.08,Groceries
House Rent Payment,7696.22,Rent
Myntra,2958.71,Shopping
DMart,491.94,Groceries
Amazon India,614.7,Shopping
Tata Power,1112.43,Bills
Credit Card Bill Payment,8736.47,Bills
Flower Shop,305.99,Other
Zomato,607.08,Food
Airtel,3196.67,Bills
Blinkit,471.6,Groceries
Ola,401.39,Miscellaneous
Jio Fiber,4260.32,Bills
Credit Card Bill Payment,2139.59,Bills
Indian Oil,2633.51,Fuel
Municipal Water Department,705.49,Bills
Amazon India,4570.0,Shopping
HP Gas,3015.27,Bills
Airtel,3757.07,Bills
Misc Vendor,1301.93,Other
Barbeque Nation,463.55,Food
Airtel,4383.04,Bills
Amazon India,288.0,Shopping
Faasos,116.0,Food
Ajio,288.0,Shopping
Credit Card Bill Payment,4641.64,Bills
Jio Fiber,937.52,Bills
Tailor,90.12,Other
Tata Power,3291.18,Bills
Myntra,417.21,Shopping
Airtel,279.28,Bills
Spotify,279.09,Subscription
Credit Card Bill Payment,1467.79,Bills
KFC India,210.57,Food
Tailor,1837.28,Other
Employer Salary Credit,39793.23,Salary
Credit Card Bill Payment,2613.51,Bills
Airtel,948.23,Bills
Credit Card Bill Payment,989.27,Bills
Jio,4677.29,Bills
DMart,672.68,Groceries
Credit Card Bill Payment,187.0,Bills
Bharat Gas,3114.36,Bills
Swiggy,668.07,Food
Airtel,2624.96,Bills
Nature's Basket,1679.85,Groceries
Unknown Merchant,1276.15,Other
Credit Card Bill Payment,352.44,Bills
Credit Card Bill Payment,1444.72,Bills
Credit Card Bill Payment,4920.74,Bills
Credit Card Bill Payment,3113.57,Bills
Bajaj Allianz,8462.13,Insurance
Disney+ Hotstar,149.0,Subscription
Tata Play,172.02,Subscription
BigBasket,841.0,Groceries
Lakme Salon,294.65,Miscellaneous
Employer Salary Credit,38622.51,Salary
Local Services,401.93,Other
DMart,1263.38,Groceries
Swiggy,1230.59,Food
House Rent Payment,7676.24,Rent
Myntra,288.0,Shopping
Nykaa,437.16,Shopping
BEST,1499.25,Bills
BPCL,4201.13,Fuel
Credit Card Bill Payment,5083.65,Bills
Spotify,406.41,Subscription
HPCL,4048.72,Fuel
Credit Card Bill Payment,1523.81,Bills
Municipal Water Department,1437.86,Bills
BigBasket,1456.69,Groceries
Indane Gas,1426.8,Bills
Starbucks India,458.29,Food
Flipkart,1358.66,Shopping
Credit Card Bill Payment,924.06,Bills
Indane Gas,2304.39,Bills
ICICI Lombard,8531.19,Insurance
Cafe Coffee Day,517.29,Food
Tata Play,517.22,Subscription
Blinkit,390.81,Groceries
Ajio,288.0,Shopping
Netflix,546.2,Subscription
Credit Card Bill Payment,3449.58,Bills
Chaayos,489.03,Food
DMart,1552.11,Groceries
DMart,843.17,Groceries
Chaayos,234.13,Food
HPCL,3218.87,Fuel
Nature's Basket,584.0,Groceries
Employer Salary Credit,51651.89,Salary
Fruit Vendor,140.08,Other
Flower Shop,284.75,Other
Credit Card Bill Payment,242.85,Bills
Nature's Basket,1402.3,Groceries
McDonald's India,129.79,Food
Employer Salary Credit,58513.32,Salary
BookMyShow,213.7,Entertainment
BSNL,1673.6,Bills
Third Wave Coffee,289.1,Food
Airtel,3735.78,Bills
KFC India,116.0,Food
HPCL,2525.27,Fuel
House Rent Payment,47173.03,Rent
Credit Card Bill Payment,1038.68,Bills
Kirana Shop,2186.59,Other
General Store,392.65,Other
Municipal Water Department,2802.27,Bills
Street Vendor,125.91,Other
Credit Card Bill Payment,14701.11,Bills
Bharat Gas,2967.41,Bills
Chaayos,116.0,Food
Swiggy,432.0,Food
Vegetable Market,351.28,Other
Zomato,116.0,Food
Credit Card Bill Payment,852.76,Bills
Tata Power,2609.63,Bills
Jio,5955.09,Bills
Domino's India,336.3,Food
EatClub,160.23,Food
Credit Card Bill Payment,1715.11,Bills
Third Wave Coffee,1373.15,Food
Zomato,116.0,Food
Zomato,794.97,Food
BigBasket,300.0,Groceries
BigBasket,717.97,Groceries
Bharat Gas,4120.65,Bills
Amazon Prime,149.0,Subscription
Bajaj Allianz,8637.27,Insurance
Credit Card Bill Payment,5484.88,Bills
HP Gas,3204.59,Bills
Jio,205.02,Bills
Dish TV,289.07,Subscription
Blinkit,753.67,Groceries
Burger King,116.0,Food
Employer Salary Credit,38309.59,Salary
Credit Card Bill Payment,1870.21,Bills
BSNL,1493.53,Bills
Domino's India,1304.01,Food
HPCL,2135.52,Fuel
KFC India,528.28,Food
Ace Hardware India,2095.27,Miscellaneous
McDonald's India,182.96,Food
Meesho,288.0,Shopping
DMart,1228.91,Groceries
Naturals Salon,639.89,Miscellaneous
ICICI Lombard,8303.95,Insurance
Airtel,1695.62,Bills
Myntra,288.0,Shopping
Tea Stall,104.8,Other
Local Wine & Beer Shop,660.84,Food
Tata Power,968.33,Bills
Indane Gas,1351.34,Bills
Swiggy,272.64,Food
Amazon Prime,149.0,Subscription
DMart,676.25,Groceries
Amazon India,1073.62,Shopping
Credit Card Bill Payment,321.92,Bills
Indane Gas,720.7,Bills
Nykaa,288.0,Shopping
Spotify,344.98,Subscription
Municipal Water Department,4832.44,Bills
Domino's India,264.98,Food
Tata Play,346.74,Subscription
Jio,1657.74,Bills
LIC,8419.12,Insurance
DMart,1092.72,Groceries
Vegetable Market,180.72,Other
ICICI Lombard,8682.66,Insurance
Credit Card Bill Payment,4031.43,Bills
BookMyShow,417.74,Entertainment
Tata Power,1196.89,Bills
Faasos,872.17,Food
Tata Power,271.79,Bills
BookMyShow,473.5,Entertainment
Social,116.0,Food
HDFC Ergo,8411.77,Insurance
Credit Card Bill Payment,626.75,Bills
Flipkart,288.0,Shopping
Starbucks India,229.56,Food
Chaayos,448.26,Food
General Store,1674.87,Other
Mobile Repair,2486.88,Other
Local Wine & Beer Shop,116.0,Food
Blinkit,1318.17,Groceries
Burger King,190.66,Food
BPCL,4261.96,Fuel
Jio Fiber,1856.68,Bills
Blinkit,1269.29,Groceries
Barbeque Nation,1049.71,Food
Zepto,1088.71,Groceries
Local Store,1495.47,Other
Credit Card Bill Payment,2989.49,Bills
Airtel,2817.89,Bills
DMart,305.82,Groceries
Kirana Shop,1464.76,Other
Starbucks India,1546.33,Food
Employer Salary Credit,42767.31,Salary
Reliance Fresh,559.27,Groceries
HP Gas,2759.86,Bills
Ola,931.49,Miscellaneous
Flower Shop,63.11,Other
BSNL,1583.3,Bills
Reliance Fresh,669.69,Groceries
Jio Fiber,1241.52,Bills
BSNL,2718.82,Bills
Nature's Basket,425.12,Groceries
Mobile Repair,2362.83,Other
Adani Electricity,7041.49,Bills
BEST,5082.06,Bills
HDFC Ergo,7990.0,Insurance
KFC India,1253.44,Food
BEST,1523.8,Bills
EatClub,233.15,Food
Burger King,229.98,Food
Domino's India,424.61,Food
BookMyShow,165.7,Entertainment
Spotify,335.12,Subscription
Netflix,183.32,Subscription
Jio,2279.01,Bills
Bharat Gas,3573.84,Bills
House Rent Payment,35206.41,Rent
Flipkart,288.0,Shopping
Airtel,2407.43,Bills
BigBasket,1023.42,Groceries
Uber,2918.13,Miscellaneous
Meesho,4411.32,Shopping
Reliance Fresh,635.91,Groceries
Airtel,4730.86,Bills
BigBasket,523.85,Groceries
Jio,1916.49,Bills
Zepto,300.0,Groceries
Indian Oil,3414.33,Fuel
Reliance Fresh,652.02,Groceries
Mobile Repair,809.89,Other
Disney+ Hotstar,371.79,Subscription
LIC,8420.62,Insurance
Municipal Water Department,1705.38,Bills
BookMyShow,209.49,Entertainment
Uber,431.87,Miscellaneous
Tata Power,3482.54,Bills
Blinkit,1504.26,Groceries
Zomato,626.41,Food
Flipkart,288.0,Shopping
Credit Card Bill Payment,2844.84,Bills
Local Wine & Beer Shop,726.27,Food
BigBasket,641.08,Groceries
Indian Oil,3138.36,Fuel
Employer Salary Credit,42835.65,Salary
Jio,2964.71,Bills
BPCL,3566.19,Fuel
Amazon India,288.0,Shopping
Chaayos,116.0,Food
Amazon India,1307.85,Shopping
Airtel,2688.47,Bills
Nature's Basket,300.0,Groceries
McDonald's India,116.0,Food
Indian Oil,3325.09,Fuel
Amazon India,288.0,Shopping
Credit Card Bill Payment,937.74,Bills
Credit Card Bill Payment,5887.05,Bills
Local Services,1756.65,Other
Bharat Gas,187.0,Bills
Blinkit,300.0,Groceries
BookMyShow,278.24,Entertainment
Social,116.0,Food
Swiggy,116.0,Food
Faasos,198.73,Food
HPCL,2851.31,Fuel
BEST,4525.56,Bills
Nykaa,971.3,Shopping
HPCL,3436.81,Fuel
Local Services,1571.19,Other
Cafe Coffee Day,373.41,Food
KFC India,116.0,Food
Credit Card Bill Payment,1288.29,Bills
Indane Gas,3814.04,Bills
Municipal Water Department,4390.38,Bills
Chaayos,116.0,Food
BookMyShow,371.33,Entertainment
Bakery,264.12,Other
Burger King,270.42,Food
Barbeque Nation,276.62,Food
BigBasket,306.21,Groceries
Jio,1097.85,Bills
McDonald's India,468.49,Food
Jio Fiber,4464.92,Bills
DMart,749.83,Groceries
BigBasket,1209.95,Groceries
Social,545.7,Food
Meesho,3737.46,Shopping
Amazon India,288.0,Shopping
DMart,841.93,Groceries
Flower Shop,230.22,Other
Credit Card Bill Payment,552.36,Bills
EatClub,452.47,Food
Bharat Gas,904.33,Bills
Airtel,860.04,Bills
Tata Power,2467.37,Bills
HDFC Ergo,8292.7,Insurance
Reliance Fresh,976.2,Groceries
Jio Fiber,1851.51,Bills
Misc Vendor,372.86,Other
Mobile Repair,2025.56,Other
Tata Power,913.15,Bills
House Rent Payment,8001.03,Rent
Amazon India,288.0,Shopping
Tata Power,1035.42,Bills
Unknown Merchant,1488.39,Other
DMart,300.0,Groceries
Indian Oil,4155.1,Fuel
Zepto,300.0,Groceries
HPCL,2979.29,Fuel
Reliance Fresh,734.79,Groceries
Ajio,339.91,Shopping
Mobile Repair,683.69,Other
DMart,443.56,Groceries
Credit Card Bill Payment,2477.96,Bills
Airtel,5385.57,Bills
Swiggy,176.51,Food
Credit Card Bill Payment,1412.91,Bills
Blinkit,1591.64,Groceries
Employer Salary Credit,47566.28,Salary
Myntra,288.0,Shopping
Zomato,286.65,Food
HP Gas,762.41,Bills
Credit Card Bill Payment,4004.28,Bills
BigBasket,479.91,Groceries
Credit Card Bill Payment,308.86,Bills
Ajio,288.0,Shopping
Adani Electricity,436.38,Bills
DMart,494.43,Groceries
Employer Salary Credit,37608.1,Salary
Social,116.0,Food
BEST,1187.67,Bills
Disney+ Hotstar,169.17,Subscription
Credit Card Bill Payment,2664.41,Bills
Local Wine & Beer Shop,456.44,Food
Employer Salary Credit,28930.95,Salary
Laundry,1970.07,Other
Credit Card Bill Payment,2674.21,Bills
Myntra,3640.8,Shopping
Zomato,116.0,Food
BigBasket,1001.36,Groceries
Credit Card Bill Payment,7603.84,Bills
Credit Card Bill Payment,361.05,Bills
